Name,State,Notes,Created,Runtime,no_mask_diagonal,no_vo_rope,untie_attn_weights,untie_ffn_weights,untie_layerwise_weights,use_ffn_after_attn,use_gated_ffn,use_rms_norm,use_single_message_attn,use_std_residual,eval/loss,eval/accuracy
magic-sweep-192,finished,-,2024-10-16T20:59:30.000Z,7414,False,False,True,True,False,False,False,False,False,False,2.73648071289062,0.519377716769618
p2t-1-2-3,finished,-,2024-10-14T01:12:53.000Z,7486,False,False,True,True,True,False,False,False,False,False,2.77698612213134,0.512216884008236
p2t-1-2-3-7,finished,-,2024-10-14T02:36:14.000Z,7145,False,False,True,True,True,False,True,False,False,False,2.78330278396606,0.514413177762525
silvery-sweep-69,finished,-,2024-10-15T08:03:17.000Z,7638,False,False,True,False,True,True,False,False,False,True,2.80915713310241,0.511324639670556
kind-sweep-4,finished,-,2024-10-14T11:05:10.000Z,7100,False,True,True,False,True,True,True,False,False,False,2.82731652259826,0.507709906199954
swift-sweep-146,finished,-,2024-10-16T07:32:42.000Z,6332,True,False,True,False,False,True,False,False,True,False,2.82793831825256,0.507137954701441
dulcet-sweep-46,finished,-,2024-10-15T00:10:04.000Z,7123,False,True,True,False,True,False,False,False,False,False,2.86629915237426,0.503614733470601
fiery-sweep-127,finished,-,2024-10-16T01:32:46.000Z,6037,True,False,True,False,False,False,False,False,True,True,2.9134874343872,0.499450926561427
brisk-sweep-297,finished,-,2024-10-18T04:20:44.000Z,5861,True,True,True,False,False,False,False,False,True,True,2.95949935913085,0.496819949668268
upbeat-sweep-359,finished,-,2024-10-18T21:56:43.000Z,7076,True,True,True,False,True,False,False,False,False,True,2.98032975196838,0.490436970944863
zany-sweep-327,finished,-,2024-10-18T13:48:05.000Z,6039,True,True,True,True,True,True,True,False,True,False,2.98092770576477,0.486799359414321
celestial-sweep-21,finished,-,2024-10-14T16:41:04.000Z,7885,True,True,True,True,True,True,False,False,False,True,3.01018738746643,0.490940288263555
flowing-sweep-9,finished,-,2024-10-14T12:59:58.000Z,7198,False,True,True,True,False,True,False,False,False,True,3.08272194862365,0.483367650423244
dazzling-sweep-10,finished,-,2024-10-14T13:03:37.000Z,7657,True,False,True,True,True,True,False,False,False,True,3.14209794998168,0.473667353008464
classic-sweep-310,finished,-,2024-10-18T08:12:40.000Z,7645,True,False,True,True,True,True,False,False,False,True,3.14209794998168,0.473667353008464
floral-sweep-284,finished,-,2024-10-18T00:36:29.000Z,6682,False,True,True,True,False,False,True,False,False,True,3.17473196983337,0.473735987188286
swept-sweep-383,finished,-,2024-10-19T05:15:42.000Z,6733,False,True,True,True,False,False,True,False,False,True,3.17473196983337,0.473735987188286
